Year,SiteN,PlotN,NumFires11to14,ShrubCov,ACERUB,ALEFAR,ALNSER,AMEOBO,ANDGER,ANDGLO,ANDGYR,ANDSP,ARISTR,AROARB,ARUTEC,ASCRUB,BAPTIN,CARBEL,CARSP,CARTOM,CENVIR,CHALAX,CHATHY,CHATOM,CHRMAR,CIRREP,CLEALN,CLIMAR,COMERE,CORMAJ,CORVER,CTEARO,CUTGRA,CYRRAC,DICACU,DICLUC,DICSP,DIOTER,DIOVIL,DIOVIR,DOESER,ELENUD,EUBRAC,EUPALB,EUPCOM,EUPCUR,EUPIPE,EUPLEU,EUPPIL,EUPPUB,EUPROT,FOTGAR,GALREG,GAYDUM,GAYFRO,HEXMIN,HYPHYP,ILECOR,ILEGLA,ILEOPA,IPOPAN,IRIVER,KALCUN,LACGRA,LESCAP,LESHIR,LIACOK,LIQSTY,LIRTUL,LYOLIG,LYOLUC,LYOMAR,LYSQUA,MAGVIR,MORCAR,MORCER,NYSSYL,ORBPED,OSMCIN,OSMREG,OXYARB,PARQUI,PERPAL,PINPAL,PINSER,PITASP,POLBIF,POLLUT,PTEAQU,QUEINC,QUELAE,QUEMARG,QUEMARI,QUENIG,RHEALI,RHEMAR,RHEPET,RHOATL,RHUCOP,ROBNAN,RUBSP,SASALB,SCHSCO,SCLTRI,SERAST,SERLIN,SERTOR,SMIGLA,SMILAU,SMIPSE,SMIROT,SOLODO,SORELL,SORNUT,STYBIF,SYMTIN,SYMWAL,TEPVIR,TOXPUB,TOXRAD,TOXVER,TRAURE,UVUPUB,VACCRA,VACFOR,VACFUS,VACSTA,VACTEN,VERACA,VERANG,VIBNUD,VIOPED,VITROT,WOOARE,WOOVIR,XYRSP,ZIGGLA
2011,1,1,2,86,0,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0.1,0
2011,1,2,2,215.7,0.5,0,0,0,0,0,0.1,0.2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0.2,62,0,0,0,71,0,0,0.2,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,14,0,0,0,0,0,0,2,0.2,0
2011,1,3,2,121.7,0,0,0,5.5,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,4.5,0,5,31,0,0,0,0,0.1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,65,0,97,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,1,2,48.5,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,0,7,0,0,0,0,0.1,0,0,0,0,36,0,0,0,2.5,0,0,0,0,1.1,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,60,237,50,0,0,0,0,5,22,0,0,0,0,0,0,0,0.1,0,0,0,0,5,0,0,0,0,0,13.5,24,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,2,2,122,0,0,0,0,0,0,0,1,24,0,0,0,2,0,0,0,0,0,0,0,0,0,116,5,0,0,6,0,0,0,0.5,0,0,0,0,25,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,5.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.6,9,30,0,0,1.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
2011,3,3,2,231.5,0,0,0,0,0,0,0,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,104,0,0,0,35,0,0,1,1,0,0,0,0,0,0,0,0,26,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,20,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0
2011,4,1,2,60.1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1.5,0,0,0,0,0,3,0,0,0,0,0,0.1,0,0,0,19,0,0,0,0,0,0,0,0.1,0
2011,4,2,2,283.5,0.2,0,0,0,0,0,3,0,0,3.5,2.5,0,0,0,0,0,0,1.1,0,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,148,0,0,0,90,0,0,1.1,0,0,0,0,0,0,0,0,8,0,0,12,0,0,0,0,5,0,0,0,20,0,0,0,0,0.1,4,0,0,0,0,0,0.5,0,0.1,3.1,0,0,0,5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.1,23
2011,4,3,2,337,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,180,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0.1,0,0,12,0,0,0,0,0,0,0,0,0,0,5,92,0,0,0,0,0,0,0,22,0,0,0,51,0.5,0,0,0,0,11,0,0,0,0,0.5,0,0,0,1.5,0,0,0.5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2011,5,1,4,4.5,0,0,0,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,2,0,0,0,0,0,0,5.5,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,10,0,0,0.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
